path,size,sha256
downloads/audio/2025-05-18-diamond-luminosity-live-stream.mp3,51839828,cfbf66d89d97390d4ccd3d28361aed1e19fd4aad0480ac771e6eb075fd008e10
downloads/audio/2025-07-16-consciousness-psychedelics-and-collective-evolution.mp3,43031828,7e9d86952c34d0fe5b1227ce537cf2ae4670a714cc1bd3dc055392223c22dbba
downloads/audio/2025-10-15-collective-karma-and-reincarnation-with.mp3,83904979,424124142588cd47bc07b784730d5023b363f132fe4e282b6f5a235fde993405
downloads/audio/2025-10-21-psa-fireside-chat-featuring-dr-raymond-turpin-dr.mp3,84609042,2e667851b0cd228ecf8337411e234b90c00c4459649df3f94cd74120f387dca1
downloads/video/2009-03-07-the-individual-and-matrix-consciousness-pt-1.mp4,13562816,d63e97273285c6e2b32c3820b706fd176292dc9365fe55976f7e1d8b34129be8
downloads/video/2009-03-07-the-individual-and-matrix-consciousness-pt-2.mp4,14348871,48273557b422fe92f5b991c8bdb2c19b22e803a28be1ddf4930d462f8a382803
downloads/video/2013-08-27-skyblue-symposia-pt-1.mp4,126452352,db37a6dd1fd2249d920d6d5e4459503f4423afbc15f00a69899f587b0119b346
downloads/video/2013-08-28-skyblue-symposia-pt-2.mp4,151227642,8a69a58748e9be805926de9f0e321e07dd2dab73e935c310465d467aa7bd5b0b
downloads/video/2013-11-17-no-fear-of-death-part-1-unity-myrtle-beach.mp4,453336765,1594c47e34363fe3e44f0d56e82a187f9e0575ad720f32d5e2e11612540a5ac3
downloads/video/2013-11-17-no-fear-of-death-part-2-unity-myrtle-beach.mp4,224289266,de81b0b918155534d51a7abfcb862aaf7545897cd7aa5dbfe09e7ee4bda14cf0
downloads/video/2013-11-17-no-fear-of-death-part-3-unity-myrtle-beach.mp4,416650287,102310c9c320157d0655be431cbb47a7869a10be76e9845924375cbaeabb8d8d
downloads/video/2013-11-18-sunday-service-with-guest-speaker-chris-bache-unity-myrtle-beach.mp4,375935821,f03f4ebe0a6e2f2a008040264278c7e349b602c298e05fdfa9890060a0461dc6
downloads/video/2014-11-10-chris-bache-waking-up-in-the-classroom-lessons-from-30-years-of-teaching.mp4,1832303068,9c87ac5f2b7a9e8a5736b3c209bffde73571750bda4dc18f87aa30426ec87a85
downloads/video/2015-03-16-exploring-the-boundaries-of-death-and-rebirth-in-lsd-psychotherapy.mp4,325542762,dbb90b3703e904938001f7fceb1c5748b719012fd88077a4bccf19183d3df416
downloads/video/2018-07-05-diamonds-from-heaven-interview-with-iain-mcnay.mp4,435101829,585daee4a1a287b6ba6cf45a1dcb486597584154be88586a5c02db5929d8aa8f
downloads/video/2018-08-30-diamonds-from-heaven-lecture-at-timewaver-summer-world-2018.mp4,1841139457,b5b920f4a1774f42c56a1d0991064ea3c34acd39c0b7c146a3bf523f5b13a3b6
downloads/video/2018-08-30-scientific-evidence-for-reincarnation-timewaver-summer-world-2018.mp4,864465297,4adf3377268e6f6a026a141c4643b4394a708c6f9d8a245c12a1a4f201be346d
downloads/video/2018-10-12-mapping-consciousness-with-high-dose-lsd-attmind-83.mp4,223135027,36faa086735d955c9273037d4a14eba49df02e0369d14ff014b83a6a9e963eb6
downloads/video/2019-02-26-chris-bache-pre-spmc-2018-interview.mp4,209674163,a7e09bbeecd170fc1cb12999c8335b4b193741c2a407b2192cd6ba60a20cffb2
downloads/video/2019-05-15-michael-pollan-and-chris-bache-buddha-at-the-gas-pump-interview.mp4,513125073,62380b07d3251f013d950adf54103ccf06f56adce54be7ae86e081ec173757ce
downloads/video/2019-08-30-scientific-evidence-for-reincarnation.mp4,350982153,3e1fed95212ec0498e49abc5a1ad3ba0f26e7532be592457e4ac316ff38235c1
downloads/video/2019-09-26-mapping-of-transcendence.mp4,1003094473,4881182297d23ad4b5d3fdde4a23d7e92a9a29f3a261f16d4975eac96d3770c0
downloads/video/2019-10-18-the-human-experience-live-show-022-dr-chris-bache-lsd-and-the-mind-of-the-universe.mp4,230066408,d0fa7632e7e48f833bc9ce409d5b6c4194d3f8819611bdbc95f33e82620ae41c
downloads/video/2019-10-22-an-interview-with-chris-bache-lsd-and-the-universe.mp4,196483134,6d5928b352a2dba9a637b287fd5c62db72357379c58ecaefe4e6ab5cf6b89ca9
